__domain,feature,mean,std,median
congress_politics_2026_lines_100,t_punct,41.44,137.9281265036544,6.0
congress_politics_2026_lines_100,t_uword,85.64,140.36644106686535,38.5
congress_politics_2026_lines_100,t_sent,11.54,37.28823574872544,3.0
congress_politics_2026_lines_100,t_char,1234.99,4134.032244172581,232.0
human_wp_stories_100,simp_adj_var,0.86208,0.10891630370206846,0.8905000000000001
human_wp_stories_100,simp_adp_var,0.41052999999999995,0.17394388129044333,0.38
human_wp_stories_100,simp_adv_var,0.77358,0.13150797341114742,0.7725
human_wp_stories_100,simp_aux_var,0.23484,0.14241217176444806,0.1975
human_wp_stories_100,simp_cconj_var,0.235,0.18293466295125946,0.182
human_wp_stories_100,simp_det_var,0.21798,0.1355106302438702,0.175
human_wp_stories_100,simp_intj_var,0.50802,0.4469228794792456,0.5894999999999999
human_wp_stories_100,simp_noun_var,0.7598699999999999,0.10916585981658805,0.752
human_wp_stories_100,simp_num_var,0.68766,0.3605692250603288,0.8165
human_wp_stories_100,simp_part_var,0.27266999999999997,0.20607785402413312,0.2
human_wp_stories_100,simp_pron_var,0.22486,0.10188823546049133,0.2
human_wp_stories_100,simp_propn_var,0.60362,0.31421872906777804,0.5905
human_wp_stories_100,simp_punct_var,0.12462999999999999,0.08397794984760024,0.0975
human_wp_stories_100,simp_sconj_var,0.6432000000000001,0.24859589536418175,0.646
human_wp_stories_100,simp_sym_var,0.17318,0.35497606634358836,0.0
human_wp_stories_100,simp_verb_var,0.74611,0.13004629284538752,0.7635000000000001
human_wp_stories_100,simp_space_var,0.0,0.0,0.0
human_wp_stories_100,root_adj_var,4.35679,1.4571655708632048,4.2059999999999995
human_wp_stories_100,root_adp_var,2.4327799999999997,0.37108052925466095,2.434
human_wp_stories_100,root_adv_var,3.71582,1.0353459030632706,3.801
human_wp_stories_100,root_aux_var,1.0703799999999999,0.2494961702910468,1.0539999999999998
human_wp_stories_100,root_cconj_var,0.69872,0.25914814140162995,0.669
human_wp_stories_100,root_det_var,1.22143,0.3087997702084768,1.175
human_wp_stories_100,root_intj_var,0.86879,0.8263908789111087,1.0
human_wp_stories_100,root_noun_var,6.61268,1.8265192479775085,6.3740000000000006
human_wp_stories_100,root_num_var,1.24612,0.7338769648898648,1.1840000000000002
human_wp_stories_100,root_part_var,0.77227,0.24421735868448888,0.756
human_wp_stories_100,root_pron_var,1.57995,0.342277499061268,1.5615
human_wp_stories_100,root_propn_var,1.96945,1.1151824996724786,1.8395
human_wp_stories_100,root_punct_var,0.89917,0.28642724515603746,0.8585
human_wp_stories_100,root_sconj_var,1.56965,0.499780848437239,1.5925
human_wp_stories_100,root_sym_var,0.20384,0.39155018822494503,0.0
human_wp_stories_100,root_verb_var,5.997240000000001,1.6516999881664622,5.801
human_wp_stories_100,root_space_var,0.0,0.0,0.0
human_wp_stories_100,corr_adj_var,3.08074,1.030316785844004,2.974
human_wp_stories_100,corr_adp_var,1.72014,0.262328501745965,1.7215
human_wp_stories_100,corr_adv_var,2.62755,0.7321542777063015,2.688
human_wp_stories_100,corr_aux_var,0.75688,0.1764493964142397,0.7455
human_wp_stories_100,corr_cconj_var,0.49396,0.18321384094863447,0.4725
human_wp_stories_100,corr_det_var,0.86367,0.21830555247731162,0.8305
human_wp_stories_100,corr_intj_var,0.61432,0.5843635730044656,0.707
human_wp_stories_100,corr_noun_var,4.67593,1.291588210755121,4.507
human_wp_stories_100,corr_num_var,0.8811,0.5189204898127214,0.8365
human_wp_stories_100,corr_part_var,0.54598,0.17263290766270725,0.535
human_wp_stories_100,corr_pron_var,1.11716,0.24200366137976526,1.104
human_wp_stories_100,corr_propn_var,1.39257,0.7885343936696736,1.3005
human_wp_stories_100,corr_punct_var,0.63588,0.20254243999715216,0.607
human_wp_stories_100,corr_sconj_var,1.10994,0.3534547481501684,1.126
human_wp_stories_100,corr_sym_var,0.14413,0.2768445085588513,0.0
human_wp_stories_100,corr_verb_var,4.24072,1.167957866266475,4.102
human_wp_stories_100,corr_space_var,0.0,0.0,0.0
human_wp_stories_100,t_word,613.4,430.546540146734,536.5
human_wp_stories_100,t_stopword,286.1,194.5053036071591,252.0
human_wp_stories_100,t_punct,96.38,80.96236561801197,79.5
human_wp_stories_100,t_uword,228.3,115.29518549349665,213.0
human_wp_stories_100,t_sent,40.24,28.705442415026877,34.0
human_wp_stories_100,t_char,2219.21,1555.8457915782387,1940.0
news_wsj_100,simp_adj_var,0.8248399999999999,0.13372032626555191,0.8165
news_wsj_100,simp_adp_var,0.39694,0.22359034600868347,0.33
news_wsj_100,simp_adv_var,0.75932,0.30231714165990353,0.8514999999999999
news_wsj_100,simp_aux_var,0.39460999999999996,0.27595413522445134,0.333
news_wsj_100,simp_cconj_var,0.31385,0.26240786261778887,0.236
news_wsj_100,simp_det_var,0.2591,0.20034997157751508,0.185
news_wsj_100,simp_intj_var,0.08,0.2726599243442907,0.0
news_wsj_100,simp_noun_var,0.6537999999999999,0.15014013655935113,0.652
news_wsj_100,simp_num_var,0.7971299999999999,0.19498068565316354,0.812
news_wsj_100,simp_part_var,0.36719,0.3278257018723224,0.2615
news_wsj_100,simp_pron_var,0.5540999999999999,0.30431726865230635,0.5
news_wsj_100,simp_propn_var,0.6638,0.1701805933220188,0.6405000000000001
news_wsj_100,simp_punct_var,0.16311,0.13247914987466955,0.111
news_wsj_100,simp_sconj_var,0.435,0.37720422890395894,0.4105
news_wsj_100,simp_sym_var,0.33314,0.3858052845358104,0.167
news_wsj_100,simp_verb_var,0.79426,0.13129391963580542,0.796
news_wsj_100,simp_space_var,0.0,0.0,0.0
news_wsj_100,root_adj_var,4.05732,1.893647241796538,3.837
news_wsj_100,root_adp_var,1.9213999999999998,0.4215384282181714,1.9195
news_wsj_100,root_adv_var,2.6421499999999996,1.694648858923437,2.449
